best_epoch,best_test_loss,feature_mode,final_delta_mse_norm,final_test_loss,fixed_0_5_fly_accuracy,fixed_0_5_fly_f1,fixed_0_5_fly_false_positive_rate,fixed_0_5_fly_fn,fixed_0_5_fly_fp,fixed_0_5_fly_pr_auc,fixed_0_5_fly_precision,fixed_0_5_fly_recall,fixed_0_5_fly_roc_auc,fixed_0_5_fly_specificity,fixed_0_5_fly_threshold,fixed_0_5_fly_tn,fixed_0_5_fly_tp,fly_accuracy,fly_error_mean_km,fly_f1,fly_false_positive_rate,fly_fn,fly_fp,fly_pr_auc,fly_precision,fly_recall,fly_roc_auc,fly_specificity,fly_threshold,fly_tn,fly_tp,gated_fly_error_mean_km,gated_mean_error_km,gated_median_error_km,gated_migration50_error_mean_km,gated_p90_error_km,gated_p95_error_km,gated_stationary_error_mean_km,k,kind,mean_error_km,median_error_km,migration50_error_mean_km,model,model_family,n_layers,p90_error_km,p95_error_km,params,pos_weight,raw_pos_weight,runtime_seconds,setup,setup_fly_threshold_km,stationary_error_mean_km,test_fly_rate,test_samples,train_fly_rate,train_samples
,,,,,,,,,,,,,,,,,,,125.0659985604233,,,,,,,,,,,,,,,,,,,,7,persistence,14.923289710207357,0.7386321611583204,143.19965037479795,persistence,baseline,,33.240053740375686,104.3792604099195,0,,,,setup_30km,30.0,2.3544520636361694,0.10242587327957153,1484,,5936
,,,,,,,,,,,,,,,,,,,109.17166379159897,,,,,,,,,,,,,,,,,,,,7,const_velocity,17.8170676659345,1.763707701548658,116.09933869184147,const_velocity,baseline,,54.11542864244548,113.61396151611616,0,,,,setup_30km,30.0,7.392218858801617,0.10242587327957153,1484,,5936
,,,,,,,,,,,,,,,,,,,128.01192579365977,,,,,,,,,,,,,,,,,,,,30,persistence,16.339407133996552,0.8082727182331646,146.62910503452096,persistence,baseline,,40.923995571751,108.11717038463665,0,,,,setup_30km,30.0,2.539791640227164,0.10998151451349258,1082,,4328
,,,,,,,,,,,,,,,,,,,113.1596434195498,,,,,,,,,,,,,,,,,,,,30,const_velocity,19.54231281414791,2.28170494968953,119.9864140083335,const_velocity,baseline,,61.88703872289553,120.56582928182819,0,,,,setup_30km,30.0,7.973816093438845,0.10998151451349258,1082,,4328
,,,,,,,,,,,,,,,,,,,93.61969260039537,,,,,,,,,,,,,,,,,,,,7,persistence,14.923289710207357,0.7386321611583204,143.19965037479795,persistence,baseline,,33.240053740375686,104.3792604099195,0,,,,setup_10km,10.0,1.5901718052503633,0.14487870037555695,1484,,5936
,,,,,,,,,,,,,,,,,,,89.9617353052174,,,,,,,,,,,,,,,,,,,,7,const_velocity,17.8170676659345,1.763707701548658,116.09933869184147,const_velocity,baseline,,54.11542864244548,113.61396151611616,0,,,,setup_10km,10.0,5.593975827915725,0.14487870037555695,1484,,5936
,,,,,,,,,,,,,,,,,,,94.74983597748766,,,,,,,,,,,,,,,,,,,,30,persistence,16.339407133996552,0.8082727182331646,146.62910503452096,persistence,baseline,,40.923995571751,108.11717038463665,0,,,,setup_10km,10.0,1.7234280732580762,0.15711645781993866,1082,,4328
,,,,,,,,,,,,,,,,,,,92.8596643149508,,,,,,,,,,,,,,,,,,,,30,const_velocity,19.54231281414791,2.28170494968953,119.9864140083335,const_velocity,baseline,,61.88703872289553,120.56582928182819,0,,,,setup_10km,10.0,5.875701240533331,0.15711645781993866,1082,,4328
1,1.1437915843130764,,1.1437915843130764,,,,,,,,,,,,,,,,82.45394590282488,,,,,,,,,,,,,,,,,,,,7,direct_transformer,17.054650909893514,6.885942221212127,89.16140296788957,direct_transformer_2l_k7,direct,2,42.74806840400068,76.19335621052234,407940,,,1.7977697849273682,setup_30km,30.0,9.591668298087528,0.10242587327957153,1484,0.1335916370153427,5936
1,1.2101841597435712,,1.2101841597435712,,,,,,,,,,,,,,,,87.29324659289198,,,,,,,,,,,,,,,,,,,,1,direct_mlp_last,17.118121262969776,5.902731218806184,95.03717200023799,direct_mlp_last_day_k1,direct,0,40.847190308262,81.65362343140978,15202,,,0.13759970664978027,setup_30km,30.0,9.379995795852235,0.09931719303131104,1611,0.13584847748279572,6441
