fly_error_mean_km_delta_v2_minus_v1,fly_error_mean_km_improved,fly_error_mean_km_v1,fly_error_mean_km_v2,gated_fly_error_mean_km_delta_v2_minus_v1,gated_fly_error_mean_km_improved,gated_fly_error_mean_km_v1,gated_fly_error_mean_km_v2,gated_mean_error_km_delta_v2_minus_v1,gated_mean_error_km_improved,gated_mean_error_km_v1,gated_mean_error_km_v2,gated_median_error_km_delta_v2_minus_v1,gated_median_error_km_improved,gated_median_error_km_v1,gated_median_error_km_v2,gated_migration100_error_mean_km_delta_v2_minus_v1,gated_migration100_error_mean_km_improved,gated_migration100_error_mean_km_v1,gated_migration100_error_mean_km_v2,gated_migration50_error_mean_km_delta_v2_minus_v1,gated_migration50_error_mean_km_improved,gated_migration50_error_mean_km_v1,gated_migration50_error_mean_km_v2,gated_p90_error_km_delta_v2_minus_v1,gated_p90_error_km_improved,gated_p90_error_km_v1,gated_p90_error_km_v2,gated_p95_error_km_delta_v2_minus_v1,gated_p95_error_km_improved,gated_p95_error_km_v1,gated_p95_error_km_v2,gated_stationary_error_mean_km_delta_v2_minus_v1,gated_stationary_error_mean_km_improved,gated_stationary_error_mean_km_v1,gated_stationary_error_mean_km_v2,k,kind,mean_error_km_delta_v2_minus_v1,mean_error_km_improved,mean_error_km_v1,mean_error_km_v2,median_error_km_delta_v2_minus_v1,median_error_km_improved,median_error_km_v1,median_error_km_v2,migration100_error_mean_km_delta_v2_minus_v1,migration100_error_mean_km_improved,migration100_error_mean_km_v1,migration100_error_mean_km_v2,migration50_error_mean_km_delta_v2_minus_v1,migration50_error_mean_km_improved,migration50_error_mean_km_v1,migration50_error_mean_km_v2,model,model_family,p90_error_km_delta_v2_minus_v1,p90_error_km_improved,p90_error_km_v1,p90_error_km_v2,p95_error_km_delta_v2_minus_v1,p95_error_km_improved,p95_error_km_v1,p95_error_km_v2,setup,stationary_error_mean_km_delta_v2_minus_v1,stationary_error_mean_km_improved,stationary_error_mean_km_v1,stationary_error_mean_km_v2,v1_model
0.0,False,125.0659985604233,125.0659985604233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,persistence,0.0,False,14.923289710207357,14.923289710207357,0.0,False,0.7386321611583204,0.7386321611583204,0.0,False,184.70182581939795,184.70182581939795,0.0,False,143.19965037479795,143.19965037479795,persistence,baseline,0.0,False,33.240053740375686,33.240053740375686,0.0,False,104.3792604099195,104.3792604099195,setup_30km,4.440892098500626e-16,False,2.354452063636169,2.3544520636361694,persistence
1.4210854715202004e-14,False,109.17166379159896,109.17166379159897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,const_velocity,0.0,False,17.8170676659345,17.8170676659345,0.0,False,1.763707701548658,1.763707701548658,0.0,False,138.287399737784,138.287399737784,-1.4210854715202004e-14,True,116.09933869184148,116.09933869184147,const_velocity,baseline,0.0,False,54.11542864244548,54.11542864244548,0.0,False,113.61396151611616,113.61396151611616,setup_30km,0.0,False,7.392218858801617,7.392218858801617,const_velocity
0.0,False,128.01192579365977,128.01192579365977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,persistence,0.0,False,16.339407133996552,16.339407133996552,0.0,False,0.8082727182331646,0.8082727182331646,0.0,False,189.8530443415869,189.8530443415869,0.0,False,146.62910503452096,146.62910503452096,persistence,baseline,0.0,False,40.923995571751,40.923995571751,1.4210854715202004e-14,False,108.11717038463664,108.11717038463665,setup_30km,0.0,False,2.539791640227164,2.539791640227164,persistence
0.0,False,113.1596434195498,113.1596434195498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,const_velocity,0.0,False,19.54231281414791,19.54231281414791,0.0,False,2.28170494968953,2.28170494968953,0.0,False,141.64378290818016,141.64378290818016,0.0,False,119.9864140083335,119.9864140083335,const_velocity,baseline,0.0,False,61.88703872289553,61.88703872289553,-1.4210854715202004e-14,True,120.5658292818282,120.56582928182819,setup_30km,0.0,False,7.973816093438845,7.973816093438845,const_velocity
1.4210854715202004e-14,False,93.61969260039535,93.61969260039537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,persistence,0.0,False,14.923289710207357,14.923289710207357,0.0,False,0.7386321611583204,0.7386321611583204,0.0,False,184.70182581939795,184.70182581939795,0.0,False,143.19965037479795,143.19965037479795,persistence,baseline,0.0,False,33.240053740375686,33.240053740375686,0.0,False,104.3792604099195,104.3792604099195,setup_10km,0.0,False,1.5901718052503633,1.5901718052503633,persistence
0.0,False,89.9617353052174,89.9617353052174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,const_velocity,0.0,False,17.8170676659345,17.8170676659345,0.0,False,1.763707701548658,1.763707701548658,0.0,False,138.287399737784,138.287399737784,-1.4210854715202004e-14,True,116.09933869184148,116.09933869184147,const_velocity,baseline,0.0,False,54.11542864244548,54.11542864244548,0.0,False,113.61396151611616,113.61396151611616,setup_10km,0.0,False,5.593975827915725,5.593975827915725,const_velocity
0.0,False,94.74983597748766,94.74983597748766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,persistence,0.0,False,16.339407133996552,16.339407133996552,0.0,False,0.8082727182331646,0.8082727182331646,0.0,False,189.8530443415869,189.8530443415869,0.0,False,146.62910503452096,146.62910503452096,persistence,baseline,0.0,False,40.923995571751,40.923995571751,1.4210854715202004e-14,False,108.11717038463664,108.11717038463665,setup_10km,0.0,False,1.7234280732580762,1.7234280732580762,persistence
0.0,False,92.8596643149508,92.8596643149508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,const_velocity,0.0,False,19.54231281414791,19.54231281414791,0.0,False,2.28170494968953,2.28170494968953,0.0,False,141.64378290818016,141.64378290818016,0.0,False,119.9864140083335,119.9864140083335,const_velocity,baseline,0.0,False,61.88703872289553,61.88703872289553,-1.4210854715202004e-14,True,120.5658292818282,120.56582928182819,setup_10km,0.0,False,5.875701240533331,5.875701240533331,const_velocity
4.22323033000805,False,78.83565382841991,83.05888415842796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,direct_transformer,4.539436037709079,False,14.274545749690583,18.813981787399662,5.009408305763203,False,3.393367978676742,8.402776284439945,9.309183366402536,False,96.57695266547712,105.88613603187966,2.613551724304102,False,85.63335244676999,88.24690417107409,direct_transformer_2l_k7,direct,5.99031136266305,False,42.71279991782659,48.70311128048964,16.036944653292196,False,73.72902169497426,89.76596634826646,setup_30km,4.575519571921205,False,6.907212095060814,11.48273166698202,direct_transformer_2l_k7
4.22224142631336,False,65.4064701739166,69.62871160022996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,direct_transformer,4.539436037709079,False,14.274545749690583,18.813981787399662,5.009408305763203,False,3.393367978676742,8.402776284439945,9.309183366402536,False,96.57695266547712,105.88613603187966,2.613551724304102,False,85.63335244676999,88.24690417107409,direct_transformer_2l_k7,direct,5.99031136266305,False,42.71279991782659,48.70311128048964,16.036944653292196,False,73.72902169497426,89.76596634826646,setup_10km,4.593176653508981,False,5.611532549368605,10.204709202877586,direct_transformer_2l_k7
