fly_error_mean_km_delta_weighted_minus_weather,fly_error_mean_km_improved,fly_error_mean_km_weather,fly_error_mean_km_weighted,gated_fly_error_mean_km_delta_weighted_minus_weather,gated_fly_error_mean_km_improved,gated_fly_error_mean_km_weather,gated_fly_error_mean_km_weighted,gated_mean_error_km_delta_weighted_minus_weather,gated_mean_error_km_improved,gated_mean_error_km_weather,gated_mean_error_km_weighted,gated_median_error_km_delta_weighted_minus_weather,gated_median_error_km_improved,gated_median_error_km_weather,gated_median_error_km_weighted,gated_migration50_error_mean_km_delta_weighted_minus_weather,gated_migration50_error_mean_km_improved,gated_migration50_error_mean_km_weather,gated_migration50_error_mean_km_weighted,gated_p90_error_km_delta_weighted_minus_weather,gated_p90_error_km_improved,gated_p90_error_km_weather,gated_p90_error_km_weighted,gated_p95_error_km_delta_weighted_minus_weather,gated_p95_error_km_improved,gated_p95_error_km_weather,gated_p95_error_km_weighted,gated_stationary_error_mean_km_delta_weighted_minus_weather,gated_stationary_error_mean_km_improved,gated_stationary_error_mean_km_weather,gated_stationary_error_mean_km_weighted,k,kind,mean_error_km_delta_weighted_minus_weather,mean_error_km_improved,mean_error_km_weather,mean_error_km_weighted,median_error_km_delta_weighted_minus_weather,median_error_km_improved,median_error_km_weather,median_error_km_weighted,migration50_error_mean_km_delta_weighted_minus_weather,migration50_error_mean_km_improved,migration50_error_mean_km_weather,migration50_error_mean_km_weighted,model,model_family,p90_error_km_delta_weighted_minus_weather,p90_error_km_improved,p90_error_km_weather,p90_error_km_weighted,p95_error_km_delta_weighted_minus_weather,p95_error_km_improved,p95_error_km_weather,p95_error_km_weighted,setup,stationary_error_mean_km_delta_weighted_minus_weather,stationary_error_mean_km_improved,stationary_error_mean_km_weather,stationary_error_mean_km_weighted
0.0,False,125.0659985604233,125.0659985604233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,persistence,0.0,False,14.923289710207357,14.923289710207357,0.0,False,0.7386321611583204,0.7386321611583204,0.0,False,143.19965037479795,143.19965037479795,persistence,baseline,0.0,False,33.240053740375686,33.240053740375686,0.0,False,104.3792604099195,104.3792604099195,setup_30km,4.440892098500626e-16,False,2.354452063636169,2.3544520636361694
1.4210854715202004e-14,False,109.17166379159896,109.17166379159897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,const_velocity,0.0,False,17.8170676659345,17.8170676659345,0.0,False,1.763707701548658,1.763707701548658,-1.4210854715202004e-14,True,116.09933869184148,116.09933869184147,const_velocity,baseline,0.0,False,54.11542864244548,54.11542864244548,0.0,False,113.61396151611616,113.61396151611616,setup_30km,0.0,False,7.392218858801617,7.392218858801617
0.0,False,128.01192579365977,128.01192579365977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,persistence,0.0,False,16.339407133996552,16.339407133996552,0.0,False,0.8082727182331646,0.8082727182331646,0.0,False,146.62910503452096,146.62910503452096,persistence,baseline,0.0,False,40.923995571751,40.923995571751,1.4210854715202004e-14,False,108.11717038463664,108.11717038463665,setup_30km,0.0,False,2.539791640227164,2.539791640227164
0.0,False,113.1596434195498,113.1596434195498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,const_velocity,0.0,False,19.54231281414791,19.54231281414791,0.0,False,2.28170494968953,2.28170494968953,0.0,False,119.9864140083335,119.9864140083335,const_velocity,baseline,0.0,False,61.88703872289553,61.88703872289553,-1.4210854715202004e-14,True,120.5658292818282,120.56582928182819,setup_30km,0.0,False,7.973816093438845,7.973816093438845
1.4210854715202004e-14,False,93.61969260039535,93.61969260039537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,persistence,0.0,False,14.923289710207357,14.923289710207357,0.0,False,0.7386321611583204,0.7386321611583204,0.0,False,143.19965037479795,143.19965037479795,persistence,baseline,0.0,False,33.240053740375686,33.240053740375686,0.0,False,104.3792604099195,104.3792604099195,setup_10km,0.0,False,1.5901718052503633,1.5901718052503633
0.0,False,89.9617353052174,89.9617353052174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,const_velocity,0.0,False,17.8170676659345,17.8170676659345,0.0,False,1.763707701548658,1.763707701548658,-1.4210854715202004e-14,True,116.09933869184148,116.09933869184147,const_velocity,baseline,0.0,False,54.11542864244548,54.11542864244548,0.0,False,113.61396151611616,113.61396151611616,setup_10km,0.0,False,5.593975827915725,5.593975827915725
0.0,False,94.74983597748766,94.74983597748766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,persistence,0.0,False,16.339407133996552,16.339407133996552,0.0,False,0.8082727182331646,0.8082727182331646,0.0,False,146.62910503452096,146.62910503452096,persistence,baseline,0.0,False,40.923995571751,40.923995571751,1.4210854715202004e-14,False,108.11717038463664,108.11717038463665,setup_10km,0.0,False,1.7234280732580762,1.7234280732580762
0.0,False,92.8596643149508,92.8596643149508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,const_velocity,0.0,False,19.54231281414791,19.54231281414791,0.0,False,2.28170494968953,2.28170494968953,0.0,False,119.9864140083335,119.9864140083335,const_velocity,baseline,0.0,False,61.88703872289553,61.88703872289553,-1.4210854715202004e-14,True,120.5658292818282,120.56582928182819,setup_10km,0.0,False,5.875701240533331,5.875701240533331
4.22323033000805,False,78.83565382841991,83.05888415842796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,direct_transformer,4.539436037709079,False,14.274545749690583,18.813981787399662,5.009408305763203,False,3.393367978676742,8.402776284439945,2.613551724304102,False,85.63335244676999,88.24690417107409,direct_transformer_2l_k7,direct,5.99031136266305,False,42.71279991782659,48.70311128048964,16.036944653292196,False,73.72902169497426,89.76596634826646,setup_30km,4.575519571921205,False,6.907212095060814,11.48273166698202
4.896265977849694,False,81.98958137808206,86.88584735593176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,direct_mlp_last,3.9467390562418156,False,14.341497833291358,18.288236889533174,3.4684998482254956,False,3.705290085413627,7.173789933639123,3.9555953313995786,False,90.46299049628546,94.41858582768504,direct_mlp_last_day_k1,direct,-0.9400028797549851,True,41.45636946891305,40.51636658915807,9.171237503642388,False,72.70787373290777,81.87911123655016,setup_30km,3.8420358808749917,False,6.882026181212439,10.72406206208743
