fly_error_mean_km_delta_v2_minus_v1,fly_error_mean_km_improved,fly_error_mean_km_v1,fly_error_mean_km_v2,gated_fly_error_mean_km_delta_v2_minus_v1,gated_fly_error_mean_km_improved,gated_fly_error_mean_km_v1,gated_fly_error_mean_km_v2,gated_mean_error_km_delta_v2_minus_v1,gated_mean_error_km_improved,gated_mean_error_km_v1,gated_mean_error_km_v2,gated_median_error_km_delta_v2_minus_v1,gated_median_error_km_improved,gated_median_error_km_v1,gated_median_error_km_v2,gated_migration100_error_mean_km_delta_v2_minus_v1,gated_migration100_error_mean_km_improved,gated_migration100_error_mean_km_v1,gated_migration100_error_mean_km_v2,gated_migration50_error_mean_km_delta_v2_minus_v1,gated_migration50_error_mean_km_improved,gated_migration50_error_mean_km_v1,gated_migration50_error_mean_km_v2,gated_p90_error_km_delta_v2_minus_v1,gated_p90_error_km_improved,gated_p90_error_km_v1,gated_p90_error_km_v2,gated_p95_error_km_delta_v2_minus_v1,gated_p95_error_km_improved,gated_p95_error_km_v1,gated_p95_error_km_v2,gated_stationary_error_mean_km_delta_v2_minus_v1,gated_stationary_error_mean_km_improved,gated_stationary_error_mean_km_v1,gated_stationary_error_mean_km_v2,k,kind,mean_error_km_delta_v2_minus_v1,mean_error_km_improved,mean_error_km_v1,mean_error_km_v2,median_error_km_delta_v2_minus_v1,median_error_km_improved,median_error_km_v1,median_error_km_v2,migration100_error_mean_km_delta_v2_minus_v1,migration100_error_mean_km_improved,migration100_error_mean_km_v1,migration100_error_mean_km_v2,migration50_error_mean_km_delta_v2_minus_v1,migration50_error_mean_km_improved,migration50_error_mean_km_v1,migration50_error_mean_km_v2,model,model_family,p90_error_km_delta_v2_minus_v1,p90_error_km_improved,p90_error_km_v1,p90_error_km_v2,p95_error_km_delta_v2_minus_v1,p95_error_km_improved,p95_error_km_v1,p95_error_km_v2,setup,stationary_error_mean_km_delta_v2_minus_v1,stationary_error_mean_km_improved,stationary_error_mean_km_v1,stationary_error_mean_km_v2,v1_model
0.0,False,125.0659985604233,125.0659985604233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,persistence,0.0,False,14.923289710207357,14.923289710207357,0.0,False,0.7386321611583204,0.7386321611583204,0.0,False,184.70182581939795,184.70182581939795,0.0,False,143.19965037479795,143.19965037479795,persistence,baseline,0.0,False,33.240053740375686,33.240053740375686,0.0,False,104.3792604099195,104.3792604099195,setup_30km,4.440892098500626e-16,False,2.354452063636169,2.3544520636361694,persistence
1.4210854715202004e-14,False,109.17166379159896,109.17166379159897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,const_velocity,0.0,False,17.8170676659345,17.8170676659345,0.0,False,1.763707701548658,1.763707701548658,0.0,False,138.287399737784,138.287399737784,-1.4210854715202004e-14,True,116.09933869184148,116.09933869184147,const_velocity,baseline,0.0,False,54.11542864244548,54.11542864244548,0.0,False,113.61396151611616,113.61396151611616,setup_30km,0.0,False,7.392218858801617,7.392218858801617,const_velocity
0.0,False,125.18693432868216,125.18693432868216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,persistence,0.0,False,15.89449731571084,15.89449731571084,0.0,False,0.7254620855826754,0.7254620855826754,2.842170943040401e-14,False,185.29211067588335,185.29211067588338,0.0,False,142.88954710816134,142.88954710816134,persistence,baseline,0.0,False,42.2899299132938,42.2899299132938,1.4210854715202004e-14,False,106.70000145805624,106.70000145805625,setup_30km,0.0,False,2.380328755600693,2.380328755600693,persistence
0.0,False,108.83508627174578,108.83508627174578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,const_velocity,0.0,False,18.699088483856144,18.699088483856144,2.220446049250313e-16,False,1.7985175450952855,1.7985175450952857,0.0,False,138.673328031516,138.673328031516,0.0,False,115.97701697014838,115.97701697014838,const_velocity,baseline,0.0,False,59.68489376262655,59.68489376262655,0.0,False,118.22454949275478,118.22454949275478,setup_30km,0.0,False,7.553641454482236,7.553641454482236,const_velocity
0.0,False,128.01192579365977,128.01192579365977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,persistence,0.0,False,16.339407133996552,16.339407133996552,0.0,False,0.8082727182331646,0.8082727182331646,0.0,False,189.8530443415869,189.8530443415869,0.0,False,146.62910503452096,146.62910503452096,persistence,baseline,0.0,False,40.923995571751,40.923995571751,1.4210854715202004e-14,False,108.11717038463664,108.11717038463665,setup_30km,0.0,False,2.539791640227164,2.539791640227164,persistence
0.0,False,113.1596434195498,113.1596434195498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,const_velocity,0.0,False,19.54231281414791,19.54231281414791,0.0,False,2.28170494968953,2.28170494968953,0.0,False,141.64378290818016,141.64378290818016,0.0,False,119.9864140083335,119.9864140083335,const_velocity,baseline,0.0,False,61.88703872289553,61.88703872289553,-1.4210854715202004e-14,True,120.5658292818282,120.56582928182819,setup_30km,0.0,False,7.973816093438845,7.973816093438845,const_velocity
1.4210854715202004e-14,False,93.61969260039535,93.61969260039537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,persistence,0.0,False,14.923289710207357,14.923289710207357,0.0,False,0.7386321611583204,0.7386321611583204,0.0,False,184.70182581939795,184.70182581939795,0.0,False,143.19965037479795,143.19965037479795,persistence,baseline,0.0,False,33.240053740375686,33.240053740375686,0.0,False,104.3792604099195,104.3792604099195,setup_10km,0.0,False,1.5901718052503633,1.5901718052503633,persistence
0.0,False,89.9617353052174,89.9617353052174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,const_velocity,0.0,False,17.8170676659345,17.8170676659345,0.0,False,1.763707701548658,1.763707701548658,0.0,False,138.287399737784,138.287399737784,-1.4210854715202004e-14,True,116.09933869184148,116.09933869184147,const_velocity,baseline,0.0,False,54.11542864244548,54.11542864244548,0.0,False,113.61396151611616,113.61396151611616,setup_10km,0.0,False,5.593975827915725,5.593975827915725,const_velocity
1.4210854715202004e-14,False,93.93371469095976,93.93371469095977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,persistence,0.0,False,15.89449731571084,15.89449731571084,0.0,False,0.7254620855826754,0.7254620855826754,2.842170943040401e-14,False,185.29211067588335,185.29211067588338,0.0,False,142.88954710816134,142.88954710816134,persistence,baseline,0.0,False,42.2899299132938,42.2899299132938,1.4210854715202004e-14,False,106.70000145805624,106.70000145805625,setup_10km,0.0,False,1.5691165038207362,1.5691165038207362,persistence
0.0,False,90.15228767695773,90.15228767695773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,const_velocity,0.0,False,18.699088483856144,18.699088483856144,2.220446049250313e-16,False,1.7985175450952855,1.7985175450952857,0.0,False,138.673328031516,138.673328031516,0.0,False,115.97701697014838,115.97701697014838,const_velocity,baseline,0.0,False,59.68489376262655,59.68489376262655,0.0,False,118.22454949275478,118.22454949275478,setup_10km,0.0,False,5.582679541066511,5.582679541066511,const_velocity
