fly_threshold,fly_tp,fly_fp,fly_tn,fly_fn,fly_accuracy,fly_precision,fly_recall,fly_specificity,fly_f1,fly_false_positive_rate,fly_roc_auc,fly_pr_auc
0.0036970253568142653,152,1332,0,0,0.10242587601078167,0.10242587601078167,1.0,0.0,0.18581907090464547,1.0,0.927898293029872,0.7070623608494954
0.004140545832924545,152,1317,15,0,0.11253369272237197,0.10347174948944861,1.0,0.01126126126126126,0.1875385564466379,0.9887387387387387,0.927898293029872,0.7070623608494954
0.004413280729204416,152,1302,30,0,0.12264150943396226,0.10453920220082531,1.0,0.02252252252252252,0.18929016189290163,0.9774774774774775,0.927898293029872,0.7070623608494954
0.0045908701792359355,152,1287,45,0,0.13274932614555257,0.10562890896455872,1.0,0.033783783783783786,0.1910747957259585,0.9662162162162162,0.927898293029872,0.7070623608494954
0.004825413897633552,152,1272,60,0,0.14285714285714285,0.10674157303370786,1.0,0.04504504504504504,0.19289340101522842,0.954954954954955,0.927898293029872,0.7070623608494954
0.005102274683304131,152,1257,75,0,0.15296495956873316,0.1078779276082328,1.0,0.05630630630630631,0.19474695707879563,0.9436936936936937,0.927898293029872,0.7070623608494954
0.005390605321153998,152,1243,89,0,0.1623989218328841,0.10896057347670252,1.0,0.06681681681681682,0.19650937297996124,0.9331831831831832,0.927898293029872,0.7070623608494954
0.005687800529412926,152,1228,104,0,0.1725067385444744,0.11014492753623188,1.0,0.07807807807807808,0.19843342036553524,0.9219219219219219,0.927898293029872,0.7070623608494954
0.0061658739298582075,152,1213,119,0,0.18261455525606468,0.11135531135531136,1.0,0.08933933933933934,0.2003955174686882,0.9106606606606606,0.927898293029872,0.7070623608494954
0.007150437971577048,152,1198,134,0,0.192722371967655,0.11259259259259259,1.0,0.1006006006006006,0.20239680426098536,0.8993993993993994,0.927898293029872,0.7070623608494954
0.007935947831720113,152,1183,149,0,0.2028301886792453,0.11385767790262172,1.0,0.11186186186186187,0.20443846671149965,0.8881381381381381,0.927898293029872,0.7070623608494954
0.008468443723395466,152,1168,164,0,0.21293800539083557,0.11515151515151516,1.0,0.12312312312312312,0.20652173913043478,0.8768768768768769,0.927898293029872,0.7070623608494954
0.008583204984897747,152,1166,166,0,0.21428571428571427,0.11532625189681335,1.0,0.12462462462462462,0.20680272108843534,0.8753753753753754,0.927898293029872,0.7070623608494954
0.009866456799209111,152,1154,178,0,0.2223719676549865,0.11638591117917305,1.0,0.13363363363363365,0.2085048010973937,0.8663663663663663,0.927898293029872,0.7070623608494954
0.010442993836477399,151,1140,192,1,0.23113207547169812,0.11696359411309062,0.993421052631579,0.14414414414414414,0.20928620928620928,0.8558558558558559,0.927898293029872,0.7070623608494954
0.011341971568763256,151,1125,207,1,0.24123989218328842,0.11833855799373041,0.993421052631579,0.1554054054054054,0.211484593837535,0.8445945945945946,0.927898293029872,0.7070623608494954
0.012466719560325145,150,1111,221,2,0.25,0.11895321173671689,0.9868421052631579,0.16591591591591592,0.21231422505307856,0.8340840840840841,0.927898293029872,0.7070623608494954
0.013059085980057717,150,1096,236,2,0.2601078167115903,0.12038523274478331,0.9868421052631579,0.17717717717717718,0.2145922746781116,0.8228228228228228,0.927898293029872,0.7070623608494954
0.01346938461298123,150,1092,240,2,0.2628032345013477,0.12077294685990338,0.9868421052631579,0.18018018018018017,0.2152080344332855,0.8198198198198198,0.927898293029872,0.7070623608494954
0.01387503064237535,150,1081,251,2,0.2702156334231806,0.12185215272136475,0.9868421052631579,0.18843843843843844,0.21691973969631234,0.8115615615615616,0.927898293029872,0.7070623608494954
0.01488788679242134,150,1067,265,2,0.27964959568733155,0.12325390304026294,0.9868421052631579,0.19894894894894896,0.2191380569758948,0.801051051051051,0.927898293029872,0.7070623608494954
0.016082050520926712,150,1052,280,2,0.28975741239892183,0.12479201331114809,0.9868421052631579,0.21021021021021022,0.22156573116691283,0.7897897897897898,0.927898293029872,0.7070623608494954
0.017009198293089868,150,1037,295,2,0.2998652291105121,0.12636899747262004,0.9868421052631579,0.22147147147147148,0.22404779686333082,0.7785285285285285,0.927898293029872,0.7070623608494954
0.017858296744525434,150,1022,310,2,0.30997304582210244,0.12798634812286688,0.9868421052631579,0.23273273273273273,0.22658610271903323,0.7672672672672672,0.927898293029872,0.7070623608494954
